run_id,input_scope,agent_mode,model_family,model_version,run_index,num_expected_cases,num_findings,tp_cases,partial_cases,fn_cases,tp_findings,partial_findings,fp_findings,precision,recall,partial_rate,fp_rate,fn_rate,wrong_localization_count,localization_error_rate,evidence_failure_count,evidence_failure_rate,insufficient_evidence_count,fabricated_evidence_count,unsupported_claim_count,overconfidence_count,overconfidence_rate,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,5,3,1,0,4,1,0,2,0.333333,0.200000,0.000000,0.666667,0.800000,2,0.666667,2,0.666667,2,0,0,2,0.666667,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,5,2,1,0,4,1,0,1,0.500000,0.200000,0.000000,0.500000,0.800000,1,0.500000,1,0.500000,1,0,0,1,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,5,1,1,0,4,1,0,0,1.000000,0.200000,0.000000,0.000000,0.800000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,5,2,2,2,1,2,0,0,1.000000,0.400000,0.400000,0.000000,0.200000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,5,1,0,1,4,0,1,0,,0.000000,0.200000,0.000000,0.800000,0,0.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,5,1,0,0,5,0,0,1,0.000000,0.000000,0.000000,1.000000,1.000000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
