run_id,input_scope,agent_mode,model_family,model_version,run_index,num_expected_cases,num_findings,tp_cases,partial_cases,fn_cases,tp_findings,partial_findings,fp_findings,precision,recall,partial_rate,fp_rate,fn_rate,wrong_localization_count,localization_error_rate,evidence_failure_count,evidence_failure_rate,insufficient_evidence_count,fabricated_evidence_count,unsupported_claim_count,overconfidence_count,overconfidence_rate,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,8,6,3,0,5,3,0,3,0.500000,0.375000,0.000000,0.500000,0.625000,3,0.500000,3,0.500000,3,0,0,3,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,8,3,0,2,6,0,2,1,0.000000,0.000000,0.250000,0.333333,0.750000,3,1.000000,3,1.000000,3,0,0,3,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,8,4,2,0,6,2,0,2,0.500000,0.250000,0.000000,0.500000,0.750000,2,0.500000,2,0.500000,2,0,0,2,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,8,3,2,0,6,2,0,1,0.666667,0.250000,0.000000,0.333333,0.750000,1,0.333333,1,0.333333,1,0,0,1,0.333333,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,8,4,3,1,4,3,1,0,1.000000,0.375000,0.125000,0.000000,0.500000,0,0.000000,1,0.250000,1,0,0,1,0.250000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,8,3,2,0,6,2,0,1,0.666667,0.250000,0.000000,0.333333,0.750000,1,0.333333,1,0.333333,1,0,0,1,0.333333,
