model_family,method_name,precision_mean,recall_mean,f1_score_mean,evidence_sufficiency_rate_mean,fabricated_unsupported_evidence_rate_mean,precision_std,recall_std,f1_score_std,evidence_sufficiency_rate_std,fabricated_unsupported_evidence_rate_std
deepseek_v4_pro,baseline,0.920305,0.407843,0.565133,0.961905,0.079695,0.027133,0.017971,0.021195,0.065983,0.027133
gpt_5_5,baseline,1.000000,0.384314,0.554798,0.989899,0.000000,0.000000,0.029607,0.031046,0.017495,0.000000
deepseek_v4_pro,proposed,0.768375,0.494118,0.601318,0.801660,0.328258,0.026039,0.023530,0.022995,0.007180,0.042927
gpt_5_5,proposed,0.918426,0.584314,0.713354,0.892190,0.107215,0.076305,0.017971,0.028188,0.025566,0.054766
