model_family,method_name,num_gt_cases,tp_cases,fn_cases,representative_tp_findings,fp_findings,precision,recall,f1_score,evidence_sufficiency_rate,fabricated_unsupported_evidence_rate
claude_sonnet_4-6,baseline,85,21,64,21,36,0.368421,0.247059,0.295775,1.000000,0.000000
gemini_3.1_pro_preview,baseline,85,0,85,0,0,,0.000000,,,
claude_sonnet_4-6,ours_chain_context,85,46,39,46,533,0.79447,0.541176,0.643805,1.000000,0.000000
gemini_3.1_pro_preview,ours_chain_context,85,31,54,31,426,0.67834,0.364706,0.474370,1.000000,0.000000
