model_family,method_name,precision_mean,recall_mean,f1_score_mean,evidence_sufficiency_rate_mean,fabricated_unsupported_evidence_rate_mean,precision_std,recall_std,f1_score_std,evidence_sufficiency_rate_std,fabricated_unsupported_evidence_rate_std
deepseek_v4_pro,baseline,0.4735,0.266667,0.341018,0.882081,0.0,0.035733,0.006792,0.014097,0.026977,0.0
gpt_5_5,baseline,0.537594,0.282353,0.370126,0.986111,0.014184,0.018377,0.011765,0.011875,0.024056,0.024568
deepseek_v4_pro,proposed,0.348132,0.309804,0.32774,0.840062,0.0,0.052757,0.033962,0.042451,0.065678,0.0
gpt_5_5,proposed,0.409181,0.498039,0.448823,0.685588,0.0,0.020329,0.02449,0.014363,0.022977,0.0
